"1","いいか？\nこのゲームは２部構成になっている。","Okay？\nThis game consists of two parts。","Está bem？\nEste jogo consiste em duas partes。"
"2","お嬢ちゃんたち、それぞれのルート。\n「らいは」のルート。\nそれからもう１つ、「みんな」でのルートだ。","The daughters have their own routes。\nThe root of “raiha”。\nThen there's another route with “everyone。”","As filhas têm suas próprias rotas。\nA raiz de “raiha”。\nDepois, há outra rota com “todos”。"
"3","お嬢ちゃんたち全員の全教科が、\n６０点以上で合格だ。","All the subjects of all the young ladies passed with a score of\nor higher。","Todos os assuntos de todas as moças passaram com pontuação igual ou superior a\n。"
"4","そして、各ルートのエンディングは２つある。\n「ノーマルエンド」と「グッドエンド」だ。","And there are two endings for each route。\nIt's “normal end” and “good end。”","E há dois finais para cada rota。\nÉ “final normal” e “final bom”。"
"5","それと、もう１つ。\nお嬢ちゃんたちの学力アップを\n目指すのも忘れるなよ？","And one more thing。 Aiming to improve the academic ability of\ndaughters by\nDon't forget it？","E mais uma coisa。 Com o objetivo de melhorar a capacidade acadêmica de\nfilhas por\nNão se esqueça disso？"
"6","それと、らいはのことも頼むぞ。\nちゃんと面倒見てやれよ！","Also, I'm going to ask for Raiha no too。\nTake care of it properly！","Além disso, eu vou pedir para Raiha não também。\nCuide bem disso！"
"7","まあ、お前だったらできるはずだ。","Well, you should be able to do it。","Bem, você deve ser capaz de fazer isso。"
"8","まず大事なのは、食材を集めて飯を食うこと。\n生き残るためには食わなきゃいけねぇからな。","The first important thing is to collect ingredients and eat food。\nYou have to eat it in order to survive。","O primeiro importante é coletar ingredientes e comer alimentos。\nVocê tem que comê-lo para sobreviver。"
"9","よう、風太郎。\nどうやら、いろいろと困ってるようだな。","Yo, Futaro\nApparently, there are a lot of problems。","Yo, Futaro\nAparentemente, existem muitos problemas。"
"10","ゲームのチュートリアルを見ますか？","Do you watch game tutorials？","Você assiste a tutoriais de jogos？"
"11","パラメータコマンドで今の状況がわかるから、\n行動の指針とするといいだろうな。","Since you can see the current situation with the parameter command, it would be a good idea to use\nas a guideline for action。","Como você pode ver a situação atual com o comando parameter, seria uma boa ideia usar\ncomo uma diretriz para a ação。"
"12","仕方ねぇなぁ。\n俺がこのゲームについて説明してやろう！","That's how to do it。\nI'll explain this game！","É assim que se faz。\nVou explicar esse jogo！"
"13","分岐するきっかけは、\nお嬢ちゃんたちの、お前に対する親密度だ。","The reason for the divergence is the closeness of\ndaughters to you。","O motivo da divergência é a proximidade de\nfilhas com você。"
"14","勇也","Yuya","Yuya"
"15","待て、親父！\n親密度ってなんなんだよ！","Wait, Dad！\nWhat is intimacy！","Espere, papai！\nO que é intimidade！"
"16","第１部の最終日には、\nお前が作ったテストで学力を試すことになるが――","On the final day of Part 1,\nyou will test your academic ability with the test you made--","No último dia da Parte 1,\n, você testará sua habilidade acadêmica com o teste que fez -"
"17","第１部は、島でのサバイバル生活だ。","Part 1 is a survival life on an island。","A parte 1 é uma vida de sobrevivência em uma ilha。"
"18","第２部は、７つのルートに分岐する。","The second part branches into seven routes。","A segunda parte se ramifica em sete rotas。"
"19","見ない","Don't look","Não olhe"
"20","見る","watch","relógio"
"21","親密度は「会話での文章分岐の選択」、\n「育成シーンでのサポート」、\n「料理シーンでの指名」で変化する。","Intimacy is “selection of sentence branching in conversation”,\n“support in training scenes”\nIt changes with “nomination in the cooking scene”。","Intimidade é “seleção de ramificação de frase na conversa”,\n“Suporte em cenas de treinamento”\nMuda com “nomeação na cena culinária”。"
"22","風太郎","Futaro","Futaro"
"23","風太郎。\nお嬢ちゃんたちの気持ち、\nしっかり受け止めてやるんだぞ。","Kazetaro。\nThe feelings of the young ladies,\nI'll take it firmly。","Kazetaro。\nOs sentimentos das moças,\nEu vou aceitar com firmeza。"
"24","風太郎の、家庭教師としての技量が\n試されることになるな。","Futaro's skills as a tutor will be tested by\n。","As habilidades de Futaro como tutor serão testadas por\n。"
"25","（この風太郎パラメータが４つ星以上の場合は\n　グッドエンドに、４つ星未満の場合は\n　ノーマルエンドにそれぞれ移行します）","（If this Futaro parameter is 4 stars or more, it is\ngood end, and if it is less than 4 stars （Each transition to\nnormal end）","（Se este parâmetro Futaro for 4 estrelas ou mais, é\nbom final, e se for menor que 4 estrelas （Cada transição para\nextremidade normal）"
"26","（みんなでルートは、五つ子の風太郎への親密度が\n　全員５つ星未満、かつ、全教科の成績が\n　８０点以上の場合に分岐します）","（The route for everyone will branch if the intimacy with the quintuplets Kazetaro is\nand all subjects are less than 5 stars, and the grades of all subjects are\npoints or more。）","（A rota para todos será ramificada se a intimidade com os quíntuplos Kazetaro for\ne todas as disciplinas forem inferiores a 5 estrelas e as notas de todas as disciplinas forem\npontos ou mais。）"
"27","（らいはルートは、五つ子の風太郎への親密度が\n　全員５つ星未満、かつ、全教科の成績が\n　８０点未満の場合に分岐します）","（The Raiha route branches when the intimacy with the quintuplets Kazetaro is\nand all subjects are\nthan 5 stars, and the grades of all subjects are less than 180 points。）","（A rota Raiha se ramifica quando a intimidade com os quíntuplos Kazetaro é\ne todas as disciplinas são\na 5 estrelas, e as notas de todas as disciplinas são inferiores a 180 pontos。）"
"28","（キャラクタールートから\n　「風太郎」パラメータが追加されます）","（The\n“Futaro” parameter is added from the character root。）","（O parâmetro\n“Futaro” é adicionado a partir da raiz do personagem。）"
"29","（各ルートに分岐するためには\n　キャラクターの風太郎への親密度が\n　５つ星以上である必要があります）","（In order to branch to each route, the intimacy of\ncharacter to Kazetaro must be\nstars or more。）","（Para ramificar para cada rota, a intimidade de\npersonagem para Kazetaro deve ser\nestrelas ou mais。）"
"30","（親密度は文章選択や、\n　スケジュールの勉強、食料調達の\n　風太郎サポートで上がります）","（Intimacy can be increased by selecting sentences, studying\nschedule, and supporting\nKazetaro of food procurement）","（A intimidade pode ser aumentada selecionando frases, estudando\ncronograma e apoiando\nKazetaro na compra de alimentos）"
"31","５人全員が合格すれば、第２部に進むことができる。\nだが、１人でも不合格なら即ゲームオーバーだ。","If all five students pass, they can proceed to the second part。\n, but if even one person fails, the game is over immediately。","Se todos os cinco alunos forem aprovados, eles podem prosseguir para a segunda parte。\n, mas se pelo menos uma pessoa falhar, o jogo termina imediatamente。"